,S.No,actual,name,title,male,culture,dateOfBirth,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity
518,519,1,Gallard,Archmaester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0100334448160535
519,520,1,Galt,,0,Vale Mountain Clans,,,,,Stone Crows,,0,1,0,1,0,,,,,0,0,,0,0,0,0.0033444816053511
520,521,1,Galtry the Green,Ser,1,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0133779264214046
521,522,1,Galyeon of Cuy,,1,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0066889632107023
522,523,1,Gareth the Grey,Ser,1,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0033444816053511
523,524,1,Garigus,Wisdom,1,,,,,,Alchemists' Guild,,0,0,1,0,0,,,,,0,1,,0,0,0,0.020066889632107
524,525,1,Garizon,Archmaester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0066889632107023
525,526,1,Gariss,,1,,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0
526,527,1,Garrett Paege,,1,,,,,,House Paege,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0133779264214046
527,528,1,Garth XII Gardener,,0,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0133779264214046
528,529,0,Garth of Oldtown,,0,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.020066889632107
529,530,1,Gascoyne,Ser,0,,,,,,House Martell,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0133779264214046
530,531,1,Gavin,,0,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0066889632107023
531,532,0,Gelmarr,,1,,,,,,House Greyjoy,,0,1,0,0,1,,,,,0,0,,0,0,0,0.0267558528428093
532,533,1,Gerren,,0,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0167224080267558
533,534,0,Gerold Lannister,Casterly Rock,1,Westermen,,,,,House Lannister,Alysanne Farman,0,0,0,0,0,,,,1.0,1,1,,0,0,0,0.0869565217391304
534,535,1,Ghael,Lord,1,Astapori,,,,,,,0,0,1,0,1,,,,,0,1,,0,0,0,0.0234113712374581
535,536,1,Gillam,Brother,1,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0100334448160535
536,537,0,Gladden Wylde,Ser,1,,,,,,House Wylde,,1,0,0,0,0,,,,,0,1,,0,0,0,0.0167224080267558
537,538,0,Glendon Flowers,Ser,1,,196.0,,,,,,0,0,0,0,0,,,,,0,1,100.0,0,0,0,0.0802675585284281
538,539,1,Goady,,0,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0167224080267558
539,540,1,Godwyn,,1,,,,,,House Lannister,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0
540,541,1,Gormond Drumm,,1,Ironborn,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0066889632107023
541,542,1,Gowen Baratheon,,1,,,,,,House Baratheon,Tya Lannister,1,0,0,0,0,,,,1.0,1,0,,0,0,0,0.0167224080267558
542,543,1,Grance Morrigen,Ser,1,,,,,,House Morrigen,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0100334448160535
543,544,0,Grazdan,Good Master,1,Astapori,,,,,,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0133779264214046
544,545,1,Grazdan zo Galare,,1,Meereenese,,,,,House of Galare,,0,0,0,0,1,,,,,0,0,,0,0,0,0.020066889632107
545,546,1,Green Gergen,,1,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0
546,547,1,Great Walrus,,1,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0133779264214046
547,548,1,Gretchel,,1,,,,,,House Arryn,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0167224080267558
548,549,1,Grey King,,1,Ironborn,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0769230769230769
549,550,1,Griffin King,,1,Free Folk,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.020066889632107
550,551,1,Grigg,,0,Free Folk,,,,,,,0,0,1,1,0,,,,,0,0,,0,0,0,0.0066889632107023
551,552,1,Grisel,,0,,,,,,House Baelish,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0033444816053511
552,553,1,Grisella,,0,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0100334448160535
553,554,1,Gulian,Maester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0033444816053511
554,555,1,Gulian Qorgyle,Ser,1,,,,,,House Qorgyle,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0133779264214046
555,556,1,Gurn,,0,Vale Mountain Clans,,,,,Stone Crows,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0033444816053511
556,557,1,Guyne,Archmaester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0066889632107023
557,558,1,Gwayne Corbray,Ser,1,,,,,,House Corbray,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0434782608695652
558,559,1,Gwayne Gaunt,Ser,0,,,,,,House Gaunt,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0367892976588628
559,560,1,Gwin Goodbrother,,0,Ironborn,,,,,House Goodbrother,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0267558528428093
560,561,1,Gyles,Ser,0,,,,,,Kingsguard,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0033444816053511
561,562,1,Gyleno Dothare,,1,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0133779264214046
562,563,1,Gyles Farwynd,,1,Ironborn,,,,,House Farwynd of the Lonely Light,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448160535
563,564,1,Gwynesse Harlaw,,0,Ironborn,,,,,House Harlaw,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0568561872909698
564,565,1,Gyles Grafton,,1,,,,,,House Grafton,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0167224080267558
565,566,1,Gyloro Dothare,,1,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0133779264214046
566,567,1,Gyles III Gardener,,1,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.020066889632107
567,568,0,Gynir,,1,,,,,,House Greyjoy,,0,1,0,0,1,,,,,0,0,,0,0,0,0.0267558528428093
568,569,1,Haggon,,1,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.020066889632107
569,570,1,Gysella Goodbrother,,0,Ironborn,,,,,House Goodbrother,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0267558528428093
570,571,0,Hali,,0,Free Folk,,,,,,,1,0,0,0,0,,,,,0,0,,0,0,0,0.020066889632107
571,572,1,Haldon,,1,,,,,,House Targaryen,,0,0,0,0,1,,,,,0,0,,0,0,0,0.127090301003344
572,573,1,Harbert Paege,Ser,0,,,,,,House Paege,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0133779264214046
573,574,0,Hamish the Harper,,0,,,,,,,,0,0,1,1,1,,,,,0,0,,0,0,0,0.020066889632107
574,575,0,Halys Hornwood,Hornwood,1,Northmen,,,,,House Hornwood,Donella Manderly,1,1,0,1,0,,,,1.0,1,1,,0,0,0,0.107023411371237
575,576,0,Harghaz,,1,Ghiscari,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0234113712374581
576,577,1,Hareth (Mole's Town),,1,,,,,,Night's Watch,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0501672240802675
577,578,0,Harlan Grandison,Ser,1,,,,,,House Grandison,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0167224080267558
578,579,1,Harle the Handsome,,1,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0133779264214046
579,580,1,Harle the Huntsman,,1,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0167224080267558
580,581,1,Harlon Botley,,1,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0468227424749163
581,582,1,Harmund Sharp,,1,Ironborn,,,,,House Sharp,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448160535
582,583,1,Harlon Greyjoy,,1,Ironborn,,,,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0635451505016722
583,584,1,Harodon,Archmaester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0066889632107023
584,585,0,Harra,,0,,,,,,House Whent,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0167224080267558
585,586,0,Harrag Sharp,,0,Ironborn,,,,,House Sharp,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0167224080267558
586,587,1,Harrag Hoare,,1,Ironborn,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0267558528428093
587,588,1,Harren Half-Hoare,,1,Ironborn,,,,,,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0167224080267558
588,589,0,Harren Botley,,0,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,0,0,0.060200668896321
589,590,1,Harrold Osgrey,Ser,1,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0234113712374581
590,591,1,Harry Sawyer,Ser,0,,,,,,House Sawyer,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0167224080267558
591,592,0,Harsley,,1,,,,,,,,0,0,1,0,1,,,,,0,0,,0,0,0,0.0033444816053511
592,593,1,Harwyn Hoare,,1,,,,Qhorwyn Hoare,Halleck Hoare,,,0,0,0,0,0,,1.0,1.0,,0,0,,0,0,0,0.100334448160535
593,594,1,Hayhead,,1,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0167224080267558
594,595,1,Hazrak zo Loraq,,1,Ghiscari,,,,,House of Loraq,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0100334448160535
595,596,1,Harwyn Plumm,Ser,1,,,,,,House Plumm,,0,0,1,1,0,,,,,0,1,,0,0,0,0.0468227424749163
596,597,0,Helicent Uffering,,0,,171.0,,,,House Uffering,,0,0,0,0,0,,,,,0,0,100.0,0,0,0,0.0234113712374581
597,598,1,Helliweg,Maester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0100334448160535
598,599,1,Helly,,0,,,,,,,,0,0,1,1,0,,,,,0,0,,0,0,0,0.0133779264214046
599,600,1,Helya,,0,,,,,,House Greyjoy,,0,1,1,1,0,,,,,0,0,,0,0,0,0.0167224080267558
600,601,1,Henk,,1,Free Folk,,,,,,,0,0,1,1,0,,,,,0,0,,0,0,0,0.0066889632107023
601,602,1,Henly (House Ashford),,0,,,,,,House Ashford,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0066889632107023
602,603,1,Herbert Bolling,Ser,0,,,,,,House Bolling,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0100334448160535
603,604,0,Hendry Bracken,,0,,,,,,House Bracken,,0,1,0,0,0,,,,,0,0,,0,0,0,0.040133779264214
604,605,0,Heward,,0,Northmen,,,,,House Stark,,1,0,0,0,0,,,,,0,0,,0,0,0,0.020066889632107
605,606,1,Hibald,,1,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0133779264214046
606,607,1,Hilmar Drumm,,1,Ironborn,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0066889632107023
607,608,1,Hod,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0033444816053511
608,609,1,Hoke,,0,,,,,,House Lannister,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448160535
609,610,1,Holger,,0,Vale Mountain Clans,,,,,Stone Crows,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0033444816053511
610,611,1,Hop-Robin,,1,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0334448160535117
611,612,1,Hugh Beesbury,Ser,0,,,,,,House Beesbury,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0133779264214046
612,613,1,Humfrey Clifton,Ser,1,,,,,,House Clifton,,0,0,0,0,1,,,,,0,1,,0,0,0,0.0133779264214046
613,614,1,Hunnimore,Maester,0,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0
614,615,1,Husband,,1,,,,,,,Sharna,0,0,1,1,0,,,,1.0,1,0,,0,0,0,0.0434782608695652
615,616,1,Illifer,Ser,1,,240.0,,,,,,0,0,0,1,0,,,,,0,1,65.0,0,0,0,0.040133779264214
616,617,1,Ironbelly,,1,,,,,,,,0,1,1,0,0,,,,,0,0,,0,0,0,0.0100334448160535
617,618,0,Jaehaerys Targaryen (son of Aegon II),Prince,1,,123.0,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,6.0,0,0,0,0.187290969899665
618,619,0,Jaehaera Targaryen,PrincessQueen,0,Valyrian,123.0,,,,House Targaryen,Aegon III Targaryen,0,0,0,0,0,,,,0.0,1,1,10.0,0,0,0,0.280936454849498
619,620,1,Jaggot,,0,Vale Mountain Clans,,,,,Stone Crows,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0
620,621,0,Jaehaerys II Targaryen,,1,,,Betha Blackwood,Aegon V Targaryen,Aerys II Targaryen,,,0,0,0,0,0,1.0,0.0,0.0,,0,0,,0,0,1,0.494983277591973
621,622,1,Jaime Frey,,1,,299.0,,,,House Frey,,0,0,0,1,0,,,,,0,0,6.0,0,0,0,0.127090301003344
622,623,0,Jaehaerys I Targaryen,,1,,,Alyssa Velaryon,Aenys I Targaryen,Aemon Targaryen,,,0,0,0,0,0,1.0,0.0,1.0,,0,0,,5,1,1,0.65886287625418
623,624,0,Jate,,0,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0
624,625,1,Jate Blackberry,,1,,,,,,House Blackberry,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0100334448160535
625,626,1,Jasper Waynwood,,1,,,,,,House Waynwood,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0568561872909698
626,627,1,Jayde,,0,,,,,,Chataya's brothel,,0,0,1,0,0,,,,,0,0,,0,0,0,0.020066889632107
627,628,1,Jeffory Norcross,Ser,1,,,,,,House Norcross,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0066889632107023
628,629,1,Jeffory Mallister,,1,,,,,,House Mallister,,0,1,0,0,0,,,,,0,0,,0,0,0,0.020066889632107
629,630,1,Jayne Bracken,,0,,,,,,House Bracken,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0301003344481605
630,631,1,Squinty Jeyne,,0,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0066889632107023
631,632,1,Jeyne Fossoway,,0,,,,,,House Fossoway of New Barrel,Gunthor Hightower,0,0,0,1,0,,,,1.0,1,0,,0,0,0,0.0535117056856187
632,633,1,Jeyne Heddle,,0,,281.0,,,,Brotherhood Without Banners,,0,0,0,1,0,,,,,0,0,24.0,0,0,0,0.0334448160535117
633,634,1,Jeyne Swann,,0,,,,,,House Swann,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0167224080267558
634,635,0,Jeyne Westerling (wife of Maegor I),QueenBlack Bride,0,,27.0,,,,House Westerling,Alyn Tarbeck,0,0,1,0,0,,,,1.0,1,1,20.0,0,0,0,0.110367892976588
635,636,0,Jeyne Waters,,1,Westerosi,171.0,,,,,,0,0,0,0,0,,,,,0,0,100.0,0,0,0,0.0735785953177257
636,637,1,Jeyne Westerling,Winterfell,0,Westermen,283.0,,,,House Westerling,Robb Stark,0,0,1,1,0,,,,0.0,1,1,22.0,0,0,1,0.424749163879598
637,638,1,Jocelyn Swyft,,0,,,,,,House Swyft,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0167224080267558
638,639,1,Jodge,,1,,,,,,House Lannister,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0033444816053511
639,640,1,Joanna Swyft,,0,,,,,,House Swyft,,0,0,1,1,0,,,,,0,0,,0,0,0,0.0234113712374581
640,641,0,Joanna Lannister,Casterly Rock,0,Westermen,245.0,,,,House Lannister,Tywin Lannister,1,1,1,1,1,,,,0.0,1,1,28.0,5,1,0,0.23076923076923
641,642,1,Johanna Swann,,0,,,,,,House Swann,,0,0,0,0,0,,,,,0,0,,0,0,0,0.020066889632107
642,643,1,Jommo,Khal,1,Dothraki,,,,,,,1,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448160535
643,644,1,Jommy,,1,,,,,,House Baratheon,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0033444816053511
644,645,1,Jon Cupps,Ser,1,,,,,,House Cupps,Leyla Hightower,0,0,0,1,0,,,,1.0,1,1,,0,0,0,0.0501672240802675
645,646,1,Jon Heddle,Ser,1,,,,,,House Heddle,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0066889632107023
646,647,1,Jon Hollard,Ser,1,,,,,,House Hollard,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0267558528428093
647,648,1,Jon Penny,,0,,,,,,House Penny,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0066889632107023
648,649,1,Jon Penrose,Ser,1,,,,,,House Penrose,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0167224080267558
649,650,1,Jon Pox,,1,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0167224080267558
650,651,1,Jon Vance,Maester,1,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0234113712374581
651,652,0,Jon Umber (Smalljon),,1,Northmen,,,,,House Umber,,1,1,1,1,1,,,,,0,0,,0,0,0,0.0702341137123745
652,653,1,Jon Umber (Greatjon),Last Hearth,1,Northmen,,,,,House Umber,,1,1,1,1,1,,,,,0,1,,0,0,0,0.183946488294314
653,654,0,Jon Waters,Ser,1,,171.0,,,,,,0,0,0,1,0,,,,,0,1,100.0,0,0,0,0.0769230769230769
654,655,1,Jorquen,Septon,1,,,,,,Night's Watch,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0033444816053511
655,656,1,Jorgen,,1,,,,,,House Webber,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0
656,657,1,Joseran,Maester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0033444816053511
657,658,1,Joseth,,1,,,,,,House Stark,,1,1,0,0,0,,,,,0,0,,0,0,0,0.0301003344481605
658,659,1,Joseth Mallister,Ser,0,,,,,,House Mallister,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0133779264214046
659,660,1,Joss,,1,,,,,,,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0033444816053511
660,661,1,Joss the Gloom,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448160535
661,662,1,Joth Quickbow,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0
662,663,1,Josua Willum,,1,,,,,,House Willum,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0133779264214046
663,664,1,Jurne,Maester,0,,,,,,,,0,1,1,1,0,,,,,0,1,,0,0,0,0.0133779264214046
664,665,1,Jothos Slynt,,1,,,,,,House Slynt,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0234113712374581
665,666,0,Jyck,,1,,,,,,House Lannister,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0301003344481605
666,667,1,Jyzene,,0,,,,,,,,0,0,1,1,0,,,,,0,0,,0,0,0,0.0133779264214046
667,668,1,Kegs,,1,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0167224080267558
668,669,1,Kella,,0,,,,,,House Baelish,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0033444816053511
669,670,1,Kemmett Pyke,,0,Ironborn,,,,,,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0100334448160535
670,671,0,Kenned,,0,Ironborn,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0066889632107023
671,672,1,Ketter,,0,,,,,,Night's Watch,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0
672,673,1,Kirby Pimm,Ser,1,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0
673,674,1,Kojja Mo,,0,Summer Islands,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0167224080267558
674,675,1,Kirth Vance,,1,,,,,,House Vance of Atranta,,0,0,1,1,0,,,,,0,0,,0,0,0,0.0267558528428093
675,676,0,Koss,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0367892976588628
676,677,0,Kromm,,0,Ironborn,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0066889632107023
677,678,0,Kurz,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0367892976588628
678,679,1,Kyle,Ser,1,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0267558528428093
679,680,0,Kyle (brotherhood),,0,,,,,,Brotherhood without banners,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0
680,681,1,Kyle Royce,,1,,,,,,House Royce,,0,1,0,0,0,,,,,0,0,,0,0,0,0.020066889632107
681,682,1,Kyleg,,0,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0100334448160535
682,683,1,Kym,Maester,0,,,,,,,,0,1,0,0,0,,,,,0,1,,0,0,0,0.0
683,684,1,Lamprey,,1,,,,,,House Baratheon of Dragonstone,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0100334448160535
684,685,1,Lancel V Lannister,,0,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.020066889632107
685,686,1,Lanna,,0,,285.0,,,,,,0,0,1,1,0,,,,,0,0,20.0,0,0,0,0.020066889632107
686,687,1,Lanna (Happy Port),,0,Braavosi,286.0,,,,Happy Port,,0,0,0,1,0,,,,,0,0,19.0,0,0,0,0.0267558528428093
687,688,1,Larraq,,1,Ghiscari,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.020066889632107
688,689,1,Layna,,0,,279.0,,,,,,0,1,0,0,0,,,,,0,0,26.0,0,0,0,0.0234113712374581
689,690,1,Lem,,1,,,,,,Brotherhood without banners,,0,0,1,1,0,,,,,0,0,,0,0,0,0.0836120401337792
690,691,1,Leana Frey,,0,,299.0,,,,House Frey,,0,0,0,1,0,,,,,0,0,6.0,0,0,0,0.0735785953177257
691,692,1,Lennocks,,1,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0033444816053511
692,693,0,Lem (Standfast),,0,,161.0,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,100.0,0,0,0,0.0133779264214046
693,694,1,Lenn,,0,Free Folk,,,,,,,0,0,1,1,0,,,,,0,0,,0,0,0,0.0066889632107023
694,695,1,Lenyl,,1,Free Folk,,,,,,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0100334448160535
695,696,1,Lenwood Tawney,,1,Ironborn,,,,,House Tawney,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448160535
696,697,1,Leo Tyrell (Longthorn),Lord Paramount of the Mander,1,Reach,,,,,House Tyrell,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0535117056856187
697,698,1,Leona Tyrell,,0,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,0,,0,0,0,0.123745819397993
698,699,1,Leo Tyrell (son of Victor),Ser,1,,,,,,House Tyrell,Alys Beesbury,0,0,1,1,0,,,,1.0,1,1,,0,0,0,0.130434782608695
699,700,1,Lester,,0,,,,,,House Lannister,,0,0,1,1,0,,,,,0,0,,0,0,0,0.0167224080267558
700,701,1,Lew (guard),,0,Northmen,,,,,House Stark,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0
701,702,1,Lewis Lanster,,1,,,,,,Windblown,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0066889632107023
702,703,1,Lewys Piper,,1,Rivermen,,,,,House Piper,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0334448160535117
703,704,1,Leyla Hightower,,0,,,,,,House Hightower,Jon Cupps,0,0,0,1,0,,,,1.0,1,0,,0,0,0,0.0501672240802675
704,705,1,Lia Serry,,0,,,,,,House Serry,Theodore Tyrell,0,0,1,1,0,,,,1.0,1,0,,0,0,0,0.137123745819397
705,706,1,Liane Vance,,0,,,,,,House Vance of Wayfarer's Rest,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0167224080267558
706,707,1,Lister,,1,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0033444816053511
707,708,1,Long Lew,,1,,,,,,House Tully,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0
708,709,1,Lorcas,,1,,241.0,,,,,,0,0,0,1,0,,,,,0,0,64.0,0,0,0,0.0100334448160535
709,710,1,Lorent Lorch,Ser,0,,,,,,House Lorch,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0100334448160535
710,711,0,Lorimer,Ser,1,,,,,,House Lefford,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0133779264214046
711,712,0,Lorren,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0234113712374581
712,713,1,Lothar,Maester,1,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0
713,714,1,Lorent Tyrell,,0,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,0,,0,0,0,0.127090301003344
714,715,1,Lotho Lornel,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0066889632107023
715,716,0,Lucan,,1,,,,,,House Whent,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0133779264214046
716,717,1,Lucamore Strong,Ser,1,,,,,,House Strong,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0167224080267558
717,718,1,Lucantine Woodwright,Ser,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0100334448160535
718,719,1,Lucas Nayland,Ser,0,,,,,,House Nayland,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0033444816053511
719,720,0,Lucas Roote,,1,,,,,,House Roote,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0133779264214046
720,721,1,Lucifer Hardy,Lord,1,,,,,,House Hardy,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0066889632107023
721,722,1,Luco Prestayn,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0033444816053511
722,723,1,Lucimore Botley,,0,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0468227424749163
723,724,1,Lucos,Septon,1,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0066889632107023
724,725,1,Luke of Longtown,,0,,,,,,Night's Watch,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0133779264214046
725,726,1,Lucas Tyrell,,1,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,0,,0,0,0,0.123745819397993
726,727,1,Lum,,1,Westermen,,,,,House Lannister,,0,0,1,1,0,,,,,0,0,,0,0,0,0.0133779264214046
727,728,0,Luton,,1,Northmen,,,,,House Bolton,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0234113712374581
728,729,1,Luthor Tyrell (son of Moryn),Ser,0,,,,,,House Tyrell,Elyn Norridge,0,0,1,1,0,,,,1.0,1,1,,0,0,0,0.130434782608695
729,730,1,Luthor Tyrell (son of Theodore),,1,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,0,,0,0,0,0.137123745819397
730,731,1,Lymond Mallister,Seagard,0,,,,,,House Mallister,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0133779264214046
